Ward,density_2015,density_2020,delta_2015_2020
Burumba,3535.3415523211374,4026.1062872905386,490.76473496940116
Busali,1121.3700146334113,1273.8462601065771,152.47624547316582
Busibwabo,450.5709319562886,511.83648134922913,61.26554939294056
Butali/Chegulo,522.35752003435,593.384121730681,71.026601696331
Bute,84.08704901590403,127.20901719019027,43.12196817428624
Butiye,9.927227820848183,10.987006082603642,1.0597782617554596
Butsotso Central,622.6566802009512,707.321289780279,84.66460957932782
Butsotso East,825.4997790841495,937.7455965721897,112.24581748804019
Butsotso South,663.9285824276678,754.2050569745952,90.27647454692737
Bwake/Luuya,639.0776606906252,725.975068394598,86.89740770397282
Bwiri,318.3307993308452,361.55039330345045,43.21959397260525
Califonia,38506.434171434856,46595.98396236795,8089.549790933095
Central,206.2946895561039,227.4241649488002,21.12947539269632
Central Alego,316.1502313572575,351.9332461717629,35.78301481450541
Central Bunyore,1116.268190439203,1268.0507177169368,151.78252727773383
Central Gem,535.0634883605735,595.8937314015216,60.83024304094806
Central Kamagambo,987.2380495898776,1098.9771797687908,111.73913017891323
Central Kanyamkago,348.77201733514397,388.24728121320885,39.47526387806488
Central Kasipul,433.24941029059687,482.286130385874,49.03672009527713
Central Kisumu,727.7881360852484,810.1618160717262,82.37367998647778
Central Maragoli,1508.4552435228118,1713.5646515928984,205.1094080700866
Central Nyakach,348.0770772463737,387.4736874505969,39.39661020422324
Central Sakwa,139.25283486602922,155.01396872566227,15.761133859633048
Central Seme,242.19658251987127,269.6092563102182,27.41267379034693
Chaani,9918.5829653474,11468.445549630515,1549.8625842831152
Chaik,186.0233965871957,222.62236202945138,36.59896544225569
Chakol North,423.67604597519926,481.3092664469255,57.63322047172625
Chakol South,520.518595140628,591.7100665692315,71.19147142860345
Chala,14.40334202168929,16.47440538158112,2.0710633598918307
Changamwe,5809.161426278326,6716.892224245364,907.7307979670377
Charagita,223.0824968870988,242.25575584675434,19.173258959655527
Chari,1.5419403853474087,1.7062002847609372,0.16425989941352848
Chasimba,296.6162057527255,342.96500604146706,46.348800288741586
Chavakali,1478.7361682163362,1679.8045999090962,201.06843169276
Chawia,12.163320571442673,14.061751985946009,1.8984314145033352
Cheboin,621.9800621421849,744.3508368808263,122.37077473864133
Chebukwabi,757.127402295782,860.07640503674,102.94900274095801
Chebunyo,358.87350246014654,429.479668940733,70.60616648058647
Chekalaini,538.788286400235,612.183885494073,73.39559909383797
Chemagel,685.2763481931111,820.1002794184571,134.8239312253461
Chemaner,477.1602491506165,571.0386078858601,93.87835873524358
Chemelil,198.66669886395587,221.86044961317447,23.193750749218594
Chemelil/Chemase,162.29101865113688,193.9228516911545,31.631833040017625
Chemosot,648.9479799793546,776.6245268910646,127.67654691171003
Chemuche,489.2808613359597,556.0057249986064,66.72486366264673
Chemundu/Kapng'entuny,526.8578810984204,630.5139547776831,103.6560736792627
Chengoni/Samburu,56.51181065490431,65.34226086265815,8.830450207753842
Chepareria,103.27240637964648,123.59062095162719,20.318214571980704
Chepchabas,201.11317275663407,240.6809614221178,39.56778866548373
Chepchoina,137.53486467929156,164.92449304863527,27.38962836934371
Chepkorio,287.7702728813272,344.387313137209,56.61704025588182
Chepkumia,318.944561291681,381.4096945086986,62.46513321701758
Chepkunyuk,389.2716807214164,465.8585047455172,76.58682402410085
Cheplanget,698.5324627735769,835.9644555918833,137.4319928183064
Chepseon,262.6769557380198,314.27934788551937,51.602392147499586
Chepsiro/Kiptoror,309.165156127879,369.991512180543,60.82635605266398
Cheptais,721.5948809936225,819.4814057103375,97.88652471671503
Chepterwai,334.27272360967225,399.3058955622512,65.03317195257893
Cheptiret/Kipchamo,243.5271041225276,291.4395721077506,47.91246798522303
Cheptororiet/ Seretut,646.7485088938405,773.992325820407,127.24381692656652
Chepyuk,282.0637456842271,320.4168459863898,38.35310030216266
Cherab,2.0540181176830434,2.357368354064056,0.30335023638101255
Cherangany/Chebororwa,221.50127638123027,265.08029876039467,43.5790223791644
Cherangany/Suwerwa,368.0454168098278,440.4561012776481,72.41068446782026
Chesikak,684.831820401463,777.9505773388152,93.11875693735215
Chesoen,682.5357847462436,816.820526922217,134.2847421759734
Chevaywa,718.4821023938825,816.1763829585708,97.69428056468826
Chewani,58.80080838625737,68.00368546709073,9.20287708083336
Chewele,8.152730260667905,9.434379936938736,1.2816496762708312
Chiakariga,124.13667043018204,137.3237984993645,13.187128069182464
Chilchila,354.8309533820235,424.40260496515447,69.57165158313097
Chinga,106.84766881168862,115.92403564810618,9.076366836417563
Chogoria,168.0350142227196,185.88549627161575,17.85048204889614
Chuluni,98.62427650696289,109.10120515904758,10.476928652084695
Churo/Amaya,61.65992991261906,73.79114415569175,12.13121424307269
Cianda,708.3565425254455,768.5291544588424,60.172611933396865
Clay City,9610.241717932156,11431.833498519565,1821.5917805874087
Dabaso,251.47718369904283,290.77262982384735,39.29544612480453
Dadaab,514.4830346197032,797.3121235952701,282.82908897556695
Dadaja Bula,11.025131151614579,17.08386350959186,6.0587323579772825
Dalalekutuk,50.392108087141764,60.30644718085048,9.914339093708719
Damajale,8.10039688350047,12.553460858033127,4.4530639745326575
Danaba,28.27266746949734,43.81512843234332,15.542460962845983
Dandora Area Four,32236.72671219206,39009.12024787105,6772.393535678988
Dandora Area Three,40913.30787852113,49508.50337441315,8595.195495892018
Dandora Area Two,39361.30297614533,47630.44336411559,8269.140387970263
Dandora Area one,46252.59555171997,55969.48454154554,9716.888989825573
Dandu,81.33061880163444,126.04086817029943,44.71024936866499
Danyere,34.72231413773107,53.79214997028097,19.0698358325499
Dedan Kimathi,86.62034504880154,93.97846680954031,7.358121760738769
Dekaharia,14.83937201684198,22.99708688773497,8.15771487089299
Dela,41.84753973096691,64.8525765103719,23.005036779404996
Derkale,98.3968529290248,152.48899854898679,54.09214561996198
Dertu,20.304532556185976,31.466634984260576,11.1621024280746
Dukana,3.16865158128257,3.506986064464222,0.3383344831816517
Dundori,606.6843986483187,725.5306354850796,118.84623683676091
Dungicha,69.25662603614623,80.0785618342002,10.821935798053971
Dzombo,200.1135066616759,231.38294153189054,31.26943487021464
East Alego,561.6327723271096,625.2003837638146,63.567611436704965
East Asembo,314.7171684051347,350.3379811327211,35.62081272758638
East Bunyore,1095.3487841879032,1244.286813494955,148.9380293070517
East Gem,452.3832984343847,503.6700095268413,51.286711092456585
East Kabras,524.928960142642,596.4005917443309,71.47163160168884
East Kamagak,420.42376453228053,468.0088312735888,47.58506674130825
East Kamagambo,484.44600097480765,539.2773312277182,54.831330252910504
East Kano/Wawidhi,225.14243051003993,250.62995089976394,25.48752038972401
East Kanyamkago,427.3770296571155,475.7549771280119,48.3779474708964
East Sang'alo,576.1124184409683,654.4482477372914,78.33582929632303
East Seme,405.8620117639147,452.08146277394655,46.21945101003183
East Ugenya,377.411113371008,420.656907045715,43.24579367470699
East Wanga,670.6232906202733,761.8100623605723,91.18677174029892
Eastleigh North,45676.49431570593,55272.35300205428,9595.85868634835
Eastleigh South,36573.070069573994,44256.452833488795,7683.3827639148
Ekalakala,127.41523097948522,140.9506442168098,13.535413237324576
Ekerenyo,1167.0572107088472,1299.1489807973685,132.09177008852134
El Wak North,136.5545908783665,211.59509129496067,75.04050041659417
El Wak South,551.9162969820923,855.2883291145907,303.3720321324985
El-Nur/Tula-tula,35.27469581726198,54.666413560977894,19.391717743715915
El-barta,15.247551662721545,18.24741443390083,2.9998627711792842
Elben,21.332360781947955,33.05949575671288,11.727134974764923
Elburgon,414.7294135298376,496.3248924152949,81.59547888545734
Eldas,33.0237077019652,51.177979313390765,18.154271611425564
Elementaita,117.46039424292235,140.5700084244081,23.10961418148574
Elugulu,520.5126842057708,591.2884452098182,70.77576100404735
Emabungo,1439.7344914291286,1635.0701575513963,195.33566612226764
Emali/Mulala,237.2902007319406,262.5826853573284,25.2924846253878
Embakasi,3807.0183596388415,4588.297528934143,781.2791692953015
Embobut,130.06797979414014,155.65806027089468,25.590080476754537
Embomos,126.7632403386568,151.70313181574525,24.93989147708845
Emining,39.48254581206754,47.250495458695,7.767949646627457
Emsoo,85.4785085737177,102.29588254110908,16.817373967391376
Embobut/Embulot,149.32068436824196,178.69580347463128,29.37511910638932
Endo,137.64930889959444,164.73096846017052,27.08165956057607
Endugh,37.17042194035091,44.48347513745406,7.3130531971031445
Engineer,242.45367922862215,264.0437233480965,21.590044119474328
Entonet/Lenkism,13.246925064849036,15.90263812521273,2.655713060363695
Esise,342.5088681768912,381.5675446605266,39.058676483635395
Etenje,647.3639562845214,734.8818705743514,87.51791428983006
Evurore,128.2788927453373,141.9060537003195,13.627160954982202
Ewalel/Chapchap,158.48849101329412,189.67013211178897,31.18164109849485
Ewuaso O o Nkidong'i/M,23.16573626155315,27.67624546374423,4.510509202191081
Fafi,10.289765168638343,15.946404165348273,5.65663899670993
Faza,92.57477586906047,107.04037086713436,14.465594998073882
Fino,28.670634005291838,44.386554303592554,15.715920298300716
Frere Town,10245.422149435446,11846.356530850822,1600.9343814153763
Gaaki/Aguthi,615.5634132521203,667.8535498947393,52.29013664261902
Gachuba,940.304908244895,1046.7319701046956,106.42706185980057
Gaichanjiru,699.893404718655,759.347110116821,59.453705398165994
Gakawa,121.36192660814856,133.87357887599364,12.51165226784508
Galbet,3713.429345198352,5754.385002617884,2040.9556574195321
Ganda,802.2299147230508,927.5851530275703,125.3552383045195
Ganga,533.4572164893127,590.1267609140499,56.66954442473718
Ganyure,21.422646610202136,33.19941475861744,11.776768148415307
Garashi,80.31385685296564,92.8635785785502,12.549721725584561
Garba Tulla,5.208481161312099,5.943996336714777,0.7355151754026785
Garsen Central,74.28467698102338,85.8922886300712,11.607611649047826
Garsen North,10.891273009737906,12.606237355596166,1.7149643458582595
Garsen South,31.14968491866958,36.01708761140066,4.867402692731083
Garsen West,0.9245233363538048,1.0689075863127053,0.14438424995890053
Gatanga,674.4040343281806,731.6924918298976,57.28845750171695
Gatarakwa,87.926864688265,95.3965520222316,7.469687333966604
Gathaite,251.59077030739638,272.96259768963836,21.371827382241975
Gathanji,226.56794842674458,248.6094416504757,22.041493223731123
Gathara,203.34802668692188,220.62178943827658,17.273762751354695
Gatimu,460.37345839615034,508.0983070461112,47.72484864996085
Gatina,34792.24312327243,42101.503162430905,7309.260039158478
Gatitu/Muruguru,536.611633377716,582.1950693538319,45.58343597611588
Gatongora,278.961759888765,305.54751539104865,26.585755502283632
Gatunga,45.46031504096316,50.28959752129049,4.829282480327329
Gaturi,373.2717541959608,404.97999527014366,31.708241074182865
Gaturi North,734.4167318252197,812.4343563675727,78.01762454235302
Gaturi South,707.7439950447862,782.9281546988764,75.1841596540902
Gem East/Rangwe,436.1776055224381,485.5457495197238,49.3681439972857
Gem West,406.73017623017824,452.76534870515536,46.03517247497712
Gembe,167.74993680326565,186.73647372879944,18.986536925533784
Gesima,756.6537199409934,842.2944892265128,85.64076928551947
Gesusu,867.7349644030278,966.1053181610772,98.37035375804942
Geta,238.66332269445903,258.9370069476787,20.27368425321967
Getenga,767.3356022831094,854.3236359439837,86.9880336608743
Gikondi,559.5710383608268,607.1048067669059,47.53376840607905
Gilgil,387.245138186372,463.1134703317064,75.86833214533442
Gisambai,1098.8879237914355,1248.307189795676,149.41926600424063
Gitaru,2510.115509766094,2723.341831584714,213.2263218186199
Githabai,246.5547348834828,269.40705186839693,22.852316984914125
Gither,71.60902117811253,109.81150614049004,38.20248496237751
Githiga,775.1815341744996,841.0307244690835,65.84919029458388
Githumu/Gichagi-ini,546.3957303824878,592.8103022141747,46.414571831686885
Githunguri,1034.4081785015169,1122.2778492754042,87.86967077388726
Githurai,20610.467295462982,24876.20478695993,4265.737491496948
Gitothua,558.5090140561117,608.7542773971454,50.245263341033706
Gituamba,370.712863374492,402.20373255395725,31.490869179465278
Gitugi,563.3280701130903,611.1809842566787,47.85291414358835
God Jope/Kwa,570.8281332409617,635.4364961054218,64.6083628644601
Godoma,107.85475972141988,164.39602736861482,56.54126764719494
Gokeharaka/Getembw,414.9307316886122,461.87307252773405,46.94234083912187
Golbo,21.29726432661979,24.097372012737836,2.8001076861180465
Gombato/Bongwe,1049.200233121981,1213.1466828860434,163.94644976406244
Gongoni,168.90268029539845,195.2951570980347,26.392476802636253
Goreale,11.801304360143062,18.288888764112105,6.487584403969043
Gurar,35.48004497864553,54.09295633119786,18.61291135255233
Guticha,23.287233304305225,36.089029206586744,12.801795902281519
Gwassi North,104.48075760045732,116.30626277787212,11.825505177414797
Gwassi South,143.4725834027988,159.71132287787225,16.23873947507346
Habaswein,15.867671361815122,24.590620971938506,8.722949610123385
Hadado/Adhibohol,12.768911449499385,19.78810208801029,7.019190638510906
Harambee,20741.64337713068,25099.11199243241,4357.468615301728
Heillu,330.5044959216582,365.67886215359886,35.17436623194067
Hellsgate,378.4586077961484,452.91802188639684,74.45941409024846
Hindi,10.734638852995051,12.415411764899217,1.6807729119041657
Hiriman,4.727737325742561,5.465548188676381,0.73781086293382
Homa Bay Arujo,967.602526241574,1077.119222884585,109.51669664301107
Homa Bay Central,327.248576864844,364.2877387981033,37.03916193325932
Homa Bay East,367.12463851210214,408.67712071567854,41.5524822035764
Homa Bay West,312.8528309907211,348.26263423762106,35.40980324689997
Hongwe,72.27375369798682,83.56714100982462,11.293387311837805
Hospital,2057.3157644314138,2385.4075797518703,328.0918153204566
Hulugho,6.881931740438173,10.6588603782692,3.776928637831027
Huruma,118749.87821852994,143697.22152838908,24947.34330985915
Ibeno,754.6146269429769,840.024607013864,85.40998007088717
Ibrahim Ure,13.445801476169201,20.835914767188292,7.390113291019091
Ichagaki,482.30484555102277,523.2750940047399,40.97024845371715
Ichuni,977.6048419331072,1088.2536492671047,110.64880733399752
Idakho Central,882.9351464370357,1002.9906228269878,120.0554763899521
Idakho East,853.322633415443,969.3516254305625,116.02899201511957
Idakho North,730.1607821014325,829.4430472722407,99.28226517080827
Idakho South,985.6482267772416,1119.6699387861788,134.02171200893724
Iftin,166.3712983895136,257.6307506861493,91.25945229663571
Igambang'ombe,160.52832231376217,177.58136278016536,17.05304046640319
Igembe South,145.73067273572477,161.2117474333511,15.481074697626326
Igoji East,478.75204033156314,529.6102218394717,50.85818150790857
Igoji West,192.71928134488525,213.19198971732632,20.472708372441076
Igwamiti,263.4723442933397,314.92600763527946,51.45366334193977
Ijara,12.241575314928594,18.96290833404136,6.721333019112764
Ikanga/Kyatune,85.59894179857804,94.69217998094663,9.093238182368594
Ikinu,1090.5914249190037,1183.233662182309,92.64223726330533
Ikombe,118.01609384801247,130.55302980082186,12.536935952809387
Ikutha,26.093398632107828,28.865319406892418,2.77192077478459
Ilchamus,77.56066456664371,92.82025135566859,15.25958678902488
Ildamat,32.156098437582315,38.482613959519824,6.326515521937509
Ildamat (Narok East),42.00858116829693,50.27351249473467,8.26493132643774
Ilima,374.2073317723837,413.9596498362489,39.752318063865175
Ilkerin,325.85066749847465,389.9597913438525,64.10912384537784
Illeret,1.7857888453195456,1.977781839340009,0.19199299402046344
Ilmaroro,25.072561107979507,29.9886457992234,4.916084691243892
Ilmotiook,229.60526555387656,274.7786970404874,45.17343148661081
Iloodokilani,11.806838549502451,14.13258180234402,2.325743252841569
Imara Daima,3553.836872159467,4300.27080955053,746.4339373910634
Imbirikani/Eselenkei,12.995894230506932,15.55274813788578,2.556853907378848
Ingotse/Matiha,724.42120968456,822.9230575800316,98.50184789547154
Inoi,390.79725362280294,423.99423233859983,33.19697871579689
Iria-ini,278.26229567249464,301.8997836536932,23.637487981198547
Iriaini,369.8538339528836,401.27173499496234,31.417901042078768
Isibania,3843.968818970014,4277.308971963847,433.34015299383327
Isukha West,1076.8850916479323,1223.312569874968,146.42747822703564
Ithanga,279.71493340967686,303.8866947864928,24.171761376815937
Ithiru,775.5454486925324,841.4255444521938,65.88009575966134
Itibo,855.692668416438,952.5430346588381,96.85036624240013
Ivingoni/Nzambani,71.93542622167071,79.60801525323077,7.672589031560065
Jara Jara,29.83931842496893,46.24302155743037,16.403703132461438
Jara Jila,25.811318700053327,40.00069111378444,14.189372413731114
Jaribuni,93.0455172122205,107.58466881615392,14.53915160393342
Jepkoyai,1192.4344806265005,1354.4722100057386,162.03772937923804
Jibana,445.9182538793123,515.5967667031898,69.6785128238775
Jilore,57.61619660600281,66.61921682969195,9.003020223689141
Jomvu Kuu,1956.8680459836592,2262.645315217372,305.777269233713
Juja,731.6450914753033,793.7960020776239,62.150910602320664
Junda,5543.124428986724,6409.284651037139,866.1602220504155
Junju,328.8221559332999,380.2034080390447,51.38125210574481
KEEKONYOKIE (Narok East),61.920067697023725,74.1024618011469,12.182394104123176
Kaaleng/Kaikor,9.412866115950195,11.26478999201908,1.851923876068886
Kabare,306.3436087221664,332.3665173345238,26.022908612357412
Kabarnet,135.49791801674806,162.15630549839474,26.658387481646685
Kabartonjo,114.03982641539501,136.4764650099128,22.436638594517788
Kabaru,107.4131974326064,116.53760351349545,9.12440608088906
Kabatini,557.6329739106019,667.1277371558605,109.49476324525858
Kabazi,203.1546972780544,243.05188179004188,39.89718451198746
Kabete,3029.380665854442,3288.3909732005645,259.0103073461223
Kabianga,662.0127553539518,792.2597196478399,130.24696429388814
Kabiemit,190.47842614361417,227.9538926371933,37.47546649357912
Kabiri,449.4092566320684,500.27499977466323,50.86574314259485
Kabiro,22989.31521336036,27818.982131378558,4829.666918018196
Kabisaga,305.50715307698056,365.61381353945217,60.10666046247161
Kabiyet,306.1432792665929,366.37509745375957,60.23181818716665
Kabondo East,556.7416973875628,619.8090901457603,63.06739275819746
Kabondo West,445.4281088548611,495.8432561772588,50.41514732239773
Kabonyo/Kanyagwal,153.94387466537057,171.36779320408394,17.423918538713366
Kabuchai/Chwale,818.01431855965,929.2423151721907,111.22799661254078
Kabula,579.5997342502909,658.4097465667845,78.81001231649361
Kabwareng,641.2933696870273,761.5494532826239,120.25608359559658
Kadzandani,10925.40811991723,12632.59585664011,1707.187736722879
Kaeris,8.430605277465515,10.089275361595783,1.658670084130268
Kagaari North,281.5133836838042,311.41875258837695,29.905368904572754
Kagaari South,322.3128459790633,356.5523721104637,34.239526131400396
Kagan,443.1132022502373,493.26633849480584,50.15313624456854
Kagunduini,800.7547482528447,868.776297715194,68.0215494623493
Kahawa,11455.515111950861,13841.339815171665,2385.8247032208037
Kahawa Wendan,12507.380023313559,13984.032595711671,1476.6525723981122
Kahawa West,4152.172337489647,5006.148463202152,853.9761257125047
Kahawa/Sukari,3559.8492965192986,3885.1509206293267,325.3016241100281
Kahumbu,661.8605220013197,718.0834526698058,56.222930668486015
Kaimbaga,179.99002143057487,195.75945848089845,15.769437050323575
Kajulu,1143.7373203856341,1281.1724761675625,137.43515578192842
Kakrao,413.2584715960718,460.0325412043047,46.774069608232935
Kaksingiri West,98.49951709045546,109.68971409106805,11.1901970006126
Kakuma,73.7607118841635,88.27268065626056,14.511968772097063
Kakuyuni,167.15248781712427,193.27148347099492,26.118995653870655
Kakuzi/ Mitubiri,181.74876457544275,197.1903740344645,15.441609459021748
Kalaliyo,83.85768898264196,129.07880905426353,45.22112007162157
Kalama,86.90402226014008,96.18906858389519,9.285046323755111
Kalapata,14.494489974587887,17.34619229417322,2.8517023195853337
Kalawa,93.45115428094739,103.37853851487084,9.927384233923448
Kaler,184.34731190785556,205.19514719159292,20.847835283737368
Kalimoni,207.64195678466265,225.28986990697084,17.647913122308182
Kalobeyei,10.770408786301939,12.871811846451008,2.101403060149069
Kalokol,14.585728949299021,17.4553819442855,2.8696529949864775
Kaloleni,319.5291122670004,369.4582501866713,49.92913791967089
Kamacharia,620.7202597349988,673.4484601275349,52.72820039253611
Kamagut,345.7417696997325,413.15776012239286,67.41599042266034
Kamahuha,502.53851467180107,545.227555635437,42.68904096363599
Kamakwa/Mukaro,1166.1794048414415,1265.2426257722493,99.0632209308078
Kamara,238.27568462195248,285.1549687263311,46.87928410437863
Kamariny,308.63617671943246,369.3584595373078,60.72228281787534
Kamasian,301.41147853211595,360.7123380909795,59.30085955886352
Kambiti,298.18639129145413,323.587827964255,25.401436672800855
Kamburu,504.4094751725285,547.2574464561659,42.84797128363738
Kamenu,1203.5867017511403,1305.8275340924943,102.24083234135401
Masogo/Nyang'oma,359.4234566698065,400.10428700982146,40.68083034001495
Kamukuywa,902.6652828506601,1025.9078328607175,123.24255001005736
Kamwangi,877.3675418188626,951.897091774729,74.5295499558664
Kanamkemer,63.754192416477395,76.29744030002841,12.543247883551018
Kang'atotha,20.647241020269078,24.709459408533604,4.062218388264526
Kangai,545.595482792286,591.942070727421,46.34658793513495
Kangare,341.889356397196,370.9317609908598,29.042404593663775
Kangemi,21525.30392569083,26047.405305085365,4522.101379394535
